2017-01-20 23:32:54,515 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: OneToOneXml:OneToOneXml:0.0.1-SNAPSHOT @ E:\HiberWork\OneToOneXml\pom.xml.
2017-01-20 23:32:57,108 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:32:57,128 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:32:57,133 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:32:57,134 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:32:57,173 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OneToOneXml/src
2017-01-20 23:32:57,175 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /OneToOneXml/src/test/java because it overlaps with /OneToOneXml/src
2017-01-20 23:32:57,469 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-20 23:32:58,380 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: OneToOneXml:OneToOneXml:0.0.1-SNAPSHOT @ E:\HiberWork\OneToOneXml\pom.xml.
2017-01-20 23:32:59,046 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:32:59,047 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:32:59,051 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:32:59,053 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:32:59,725 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OneToOneXml/src
2017-01-20 23:32:59,727 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /OneToOneXml/src/test/java because it overlaps with /OneToOneXml/src
2017-01-20 23:32:59,785 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-01-20 23:33:00,730 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:33:00,731 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:33:00,732 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:33:00,733 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:34:20,044 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mkyong.common:HibernateExample:1.0-SNAPSHOT @ E:\HiberWork\OneToOneXml\pom.xml.
2017-01-20 23:34:21,688 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repository.jboss.com/maven2/antlr/antlr/2.7.7/antlr-2.7.7.pom
2017-01-20 23:34:21,992 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.jboss.com/maven2/antlr/antlr/2.7.7/antlr-2.7.7.pom
2017-01-20 23:34:22,428 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.jboss.com/maven2/log4j/log4j/1.2.9/log4j-1.2.9.pom
2017-01-20 23:34:23,524 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.9/log4j-1.2.9.pom
2017-01-20 23:34:23,711 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.9/log4j-1.2.9.pom
2017-01-20 23:34:24,374 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repository.jboss.com/maven2/antlr/antlr/2.7.7/antlr-2.7.7.jar
2017-01-20 23:34:32,440 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.jboss.com/maven2/antlr/antlr/2.7.7/antlr-2.7.7.jar
2017-01-20 23:34:32,806 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.jboss.com/maven2/log4j/log4j/1.2.9/log4j-1.2.9.jar
2017-01-20 23:34:33,526 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.9/log4j-1.2.9.jar
2017-01-20 23:34:38,232 [Worker-23] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.9/log4j-1.2.9.jar
2017-01-20 23:34:42,331 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:42,332 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:34:42,334 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:42,335 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:34:43,892 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:43,893 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:34:43,896 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:43,897 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:34:58,584 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mypack.common:OneToOne:1.0-SNAPSHOT @ E:\HiberWork\OneToOneXml\pom.xml.
2017-01-20 23:34:59,068 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:59,069 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
2017-01-20 23:34:59,072 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:34:59,073 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\test\resources
2017-01-20 23:36:52,736 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-20 23:36:52,737 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\HiberWork\OneToOneXml\src\main\resources
